t,Surface,vessel,distance,input,POI
102,41.15,6,0,40,82.28
103,41.16,6,0,40,82.47
104,41.17,6,0,40,82.65
105,41.18,6,0,40,82.84
106,41.19,6,0,40,83.02
107,41.20,6,0,40,83.20
108,41.20,6,0,40,83.37
109,41.21,6,0,40,83.55
110,41.22,6,0,40,83.72
111,41.23,6,0,40,83.90
112,41.24,6,0,40,84.07
113,41.25,6,0,40,84.24
114,41.26,6,0,40,84.41
115,41.27,6,0,40,84.57
116,41.28,6,0,40,84.74
117,41.28,6,0,40,84.90
118,41.29,6,0,40,85.06
119,41.30,6,0,40,85.22
120,41.31,6,0,40,85.38
121,41.32,6,0,40,85.54
122,41.33,6,0,40,85.70
123,41.33,6,0,40,85.85
124,41.34,6,0,40,86.01
125,41.35,6,0,40,86.16
126,41.36,6,0,40,86.31
127,41.36,6,0,40,86.46
128,41.37,6,0,40,86.61
129,41.38,6,0,40,86.76
130,41.39,6,0,40,86.91
131,41.39,6,0,40,87.05
132,41.40,6,0,40,87.20
133,41.41,6,0,40,87.34
134,41.42,6,0,40,87.48
135,41.42,6,0,40,87.62
136,41.43,6,0,40,87.76
137,41.44,6,0,40,87.90
138,41.45,6,0,40,88.04
139,41.45,6,0,40,88.17
140,41.46,6,0,40,88.31
141,41.47,6,0,40,88.44
142,41.47,6,0,40,88.58
143,41.48,6,0,40,88.71
144,41.49,6,0,40,88.84
145,41.49,6,0,40,88.97
146,41.50,6,0,40,89.10
147,41.51,6,0,40,89.23
148,41.51,6,0,40,89.35
149,41.52,6,0,40,89.48
150,41.53,6,0,40,89.61
151,41.53,6,0,40,89.73
152,41.54,6,0,40,89.85
153,41.54,6,0,40,89.98
154,41.55,6,0,40,90.10
155,41.56,6,0,40,90.22
156,41.56,6,0,40,90.34
157,41.57,6,0,40,90.46
158,41.57,6,0,40,90.58
159,41.58,6,0,40,90.69
160,41.59,6,0,40,90.81
161,41.59,6,0,40,90.92
162,41.60,6,0,40,91.04
163,41.60,6,0,40,91.15
164,41.61,6,0,40,91.27
165,41.62,6,0,40,91.38
166,41.62,6,0,40,91.49
167,41.63,6,0,40,91.60
168,41.63,6,0,40,91.71
169,41.64,6,0,40,91.82
170,41.64,6,0,40,91.93
171,41.65,6,0,40,92.04
172,41.65,6,0,40,92.14
173,41.66,6,0,40,92.25
174,41.67,6,0,40,92.36
175,41.67,6,0,40,92.46
176,41.68,6,0,40,92.57
177,41.68,6,0,40,92.67
178,41.69,6,0,40,92.77
179,41.69,6,0,40,92.87
